Address,Allocation %
0x5BD97307A40DfBFDBAEf4B3d997ADB816F2dadCC,0.142852391
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.00691899
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.003788884
0x30F89f5f4cF25f457B4D9cBFb64a64A97F00bED0,0.020725523
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.00691899
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000937491
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000378889
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000151555
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.000109875
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.00576582
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.000447511
0x329b0F4597B15cd81D6F62DcF2Ad6B3fE1D74d87,0.002878365
0x329b0F4597B15cd81D6F62DcF2Ad6B3fE1D74d87,0.006247294
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.005834448
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,7.58E-05
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.016147352
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.001434209
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,0.723060776
0x0441a20748c49d57F472C0D5353907Dd74A39A9F,0.001790042
0x0441a20748c49d57F472C0D5353907Dd74A39A9F,0.000448811
0x51DFB88958df54E357fBAcC8516194944E389Ce2,7.99E-05
0x51DFB88958df54E357fBAcC8516194944E389Ce2,0.00046768
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.409480768
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.016537556
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.018678654
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.000378887
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.000075777
0x64ae4132Bbed92F21978A04cf9818632760A2D4D,0.139524023
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,3.00E-05
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,0.000512078
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,1.300936531
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,1.003299209
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.793274669
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.170744095
0x554EA6fCFd101cB05343cE931A1e45c28254cfA4,0.143213707
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.030612269
